refcode,total_charge,multiplicity,splitting,HOMO_eV,LUMO_eV,gap_eV,dipole_moment_Debye
DUSSAL,0,3,-28.8,-4.6569,-2.3586,2.2983,16.288
DUSSOB,0,5,-41.47,-4.2893,-2.1647,2.1246,12.40156
DUTMIO10,0,4,-43.43,-5.4461,-2.0813,3.3648,1.5896
DUWWEY,1,4,-28.41,-7.876,-4.802,3.074,17.64746
DUXWAW,2,3,-33.58,-12.38,-9.2427,3.1373,1.70293
DUYZII,0,5,-66.72,-4.2813,-1.9813,2.3,0.27069
EACMCO,0,1,57.58,-4.4682,-1.4027,3.0655,4.26748
EAIMCO,0,2,25.83,-4.4968,-1.7561,2.7407,3.97981
EAIVCO,0,1,70.3,-4.6094,-1.1993,3.4101,3.83657
EAMNCR10,0,1,144.29,-5.2917,-1.4523,3.8394,9.6118
EBECAP,-2,4,-23.55,2.4479,4.9877,2.5398,0.03595
EBIXAQ,-1,2,33.33,-2.0663,-1.1045,0.9618,0.3676
EBOTEU,0,5,-53.83,-5.0843,-2.1406,2.9437,0.44783
EBOTIY,0,3,13.06,-5.2292,-1.9696,3.2596,0.62662
EBUSEB,0,4,-11.9,-6.0601,-3.0611,2.999,4e-05
ECADOB01,2,4,-17.58,-13.9615,-10.3988,3.5627,0.0
ECBIMA10,0,4,-37.81,-5.0684,-1.2694,3.799,10.3032
ECEWAL,0,5,-30.57,-4.2231,-2.2576,1.9655,13.82469
ECEXIU,0,3,-19.08,-4.2602,-2.155,2.1052,3.53472
ECOPAO,0,6,-33.67,-6.0756,-3.7598,2.3158,4.01846
ECOXAW,0,5,-61.61,-4.2786,-2.9392,1.3394,4.41474
EDAMEE,0,1,84.99,-5.4018,-2.6785,2.7233,8.86387
EDECEX,0,4,-1.69,-4.7623,-3.0423,1.72,5.08273
EDEZEU,0,5,-41.98,-5.1381,-2.6601,2.478,2.17652
EDIDAX,2,4,-11.28,-13.0481,-9.8451,3.203,5.49423
EDIDED,0,5,-46.39,-3.2843,-0.5985,2.6858,5.66062
EDIGON,0,1,52.53,-4.4233,-1.4762,2.9471,1.74083
EDIJIL,0,1,57.68,-3.4833,-0.0452,3.4381,4.81807
EDISOA,0,5,-43.73,-5.4811,-2.9648,2.5163,16.7909
EDIXIY,0,2,15.19,-4.4004,-1.7475,2.6529,5.59726
EDOZAA,0,1,39.93,-4.654,-1.8242,2.8298,3.02145
EDUPOL,0,1,77.07,-4.7827,-0.7141,4.0686,1e-05
EGAMUX,0,1,46.81,-4.1039,-1.3928,2.7111,4.34248
EGEMOS,0,2,43.97,-4.3244,-2.1471,2.1773,6.43084
EGEYIA,0,4,-41.29,-5.4335,-3.1011,2.3324,12.14294
EGUVOR,0,5,-37.76,-5.2118,-2.318,2.8938,0.15784
EGUZUB,2,1,56.59,-12.2267,-8.2765,3.9502,0.00017
EHEXOE,-2,6,-25.2,0.883,3.4312,2.5482,5.36833
EHIJEM,1,4,-27.87,-8.2617,-4.8843,3.3774,12.17623
EHIWIC,-2,6,-56.48,2.5438,6.6611,4.1173,0.0
EJEVEV,1,5,-40.98,-7.9869,-5.871,2.1159,7.04667
EJOJOC,0,5,-30.94,-4.4899,-1.941,2.5489,3.19503
EJUSEK,1,3,-44.21,-7.6133,-4.4188,3.1945,8.89918
EKOKEV,0,1,90.21,-4.9875,-2.0533,2.9342,1.47898
EKOXOR,0,1,137.14,-5.1865,-1.7739,3.4126,8.32695
ELAKOR,0,1,43.37,-4.6601,-1.6001,3.06,3.80884
ELUJUQ,0,6,-11.41,-4.8668,-3.1247,1.7421,17.43095
ELUSUB,0,3,-21.22,-4.9992,-2.7635,2.2357,10.70858
ELUTAI,0,3,-19.64,-5.3466,-3.0534,2.2932,10.29708
ELUXIU,2,2,24.68,-11.0033,-7.6268,3.3765,3.08425
EMEDEH,0,4,-24.64,-5.0846,-1.9334,3.1512,3.05863
ENDACR,3,4,-51.08,-18.8683,-13.6569,5.2114,0.07109
ENTXCO,1,1,59.44,-8.8076,-6.144,2.6636,17.08712
ENUREM,0,3,-16.48,-4.8798,-2.3879,2.4919,2.87139
ENUSAJ,0,1,38.69,-5.1528,-1.8336,3.3192,4.22337
ENUSEN,0,1,38.82,-4.9873,-1.6917,3.2956,3.66917
EPUTOB,0,3,-36.68,-4.3587,-3.1237,1.235,6.18541
EQACEF,-2,6,-40.42,1.7942,4.1218,2.3276,0.32442
EQEFAI,0,6,-52.09,-5.7111,-3.197,2.5141,2.82043
EQEQAV,0,2,25.14,-4.8314,-2.5454,2.286,3.36746
EQIVIJ,0,5,-64.85,-4.445,-1.6273,2.8177,0.26856
EQIVOP,0,5,-67.26,-4.8351,-1.9731,2.862,3e-05
EQOQIK,0,1,134.65,-5.6272,-1.0269,4.6003,6.09314
ERIMEZ02,-1,2,39.62,-1.637,-1.7527,-0.1157,0.00014
ERIPEB,2,6,-59.85,-10.5346,-7.6991,2.8355,1.08697
ERIQIG,-2,1,18.22,1.54,3.6111,2.0711,0.0
ERUXIZ,2,4,-27.21,-11.8705,-8.4404,3.4301,0.7851
ESIJEY,2,1,95.45,-12.0253,-8.6503,3.375,4.11337
ESUYUM,3,2,10.32,-14.5331,-13.8045,0.7286,0.46995
ETAKIT,-2,3,-43.63,0.2139,2.5578,2.3439,1.6333
ETOHIF,0,5,-19.72,-4.16,-2.272,1.888,18.90985
EVACOT,0,1,30.58,-5.2765,-2.3902,2.8863,11.47599
EVILOM,0,6,-30.01,-5.6956,-3.3682,2.3274,12.61594
EVOJEE,2,6,-49.64,-11.8463,-7.6846,4.1617,1.24687
EWABUA,0,1,70.58,-5.2646,-1.6703,3.5943,5.45835
EWANAR,-2,2,20.56,1.0996,3.0663,1.9667,1e-05
EWOBEX,0,4,7.85,-4.3542,-3.1893,1.1649,6.61169
EWOBUP02,1,3,-15.31,-7.8957,-5.5736,2.3221,7.75776
EWUSEW,1,1,45.77,-8.8777,-5.9403,2.9374,0.91178
EXOCEA,0,1,40.6,-5.137,-2.1181,3.0189,15.0538
EXOVIX,0,4,-41.23,-6.5946,-3.1957,3.3989,11.76329
EXUKEP,-2,1,18.64,1.2815,3.5785,2.297,0.0
EYAQEA,3,1,75.68,-20.5736,-15.4669,5.1067,0.00038
EYAYIN,-1,4,-20.22,-2.8414,0.3407,3.1821,1e-05
EYEYEM,0,1,44.02,-5.2456,-2.3484,2.8972,14.75072
EYIRUA,0,5,-28.58,-4.158,-1.978,2.18,13.07883
EYITAJ,0,5,-57.55,-4.6981,-2.2502,2.4479,9.00795
EYOZEY,0,4,-20.65,-5.7166,-3.1319,2.5847,7.02485
EZOYIC,-2,6,-60.22,1.0954,5.3607,4.2653,0.35278
FAGKEE,0,3,-35.31,-4.7751,-2.2801,2.495,11.12504
FAHFUQ,1,6,-51.67,-7.739,-4.0734,3.6656,11.99424
FAJHUX,0,1,75.47,-5.6556,-2.3357,3.3199,7.25877
FAJMAF,-2,4,-41.99,1.2336,4.632,3.3984,4.70755
FALPOA,1,6,-49.29,-7.6057,-5.628,1.9777,13.14042
FANFAD,0,3,-34.54,-4.8175,-1.9817,2.8358,10.50134
FAPSAT,0,1,83.82,-3.8383,-1.234,2.6043,1.82814
FARZIH,0,4,-22.93,-4.8428,-1.2713,3.5715,12.94832
FASSEX,0,1,146.81,-6.6877,-2.0938,4.5939,0.04742
FAVZUY,0,1,42.05,-5.2022,-1.8051,3.3971,8.49244
FAWQEZ,0,1,103.84,-5.6308,-1.608,4.0228,9.2753
FAYHIZ,0,4,-20.86,-5.2607,-2.2802,2.9805,3.34091
FAYHOF,0,4,-32.06,-5.157,-2.5153,2.6417,3.1497
FAYVAF,0,1,18.55,-4.8277,-2.3705,2.4572,11.63845
FAZPEE,0,3,-30.74,-4.4441,-1.8305,2.6136,1e-05
FAZTEG,0,1,109.98,-5.3921,-1.539,3.8531,7.80885
FAZTIK,0,1,109.09,-4.7596,-1.7634,2.9962,10.15254
FEBRAF,2,3,-33.72,-12.0911,-8.9711,3.12,0.54632
FEGVOE,0,5,-38.33,-5.1797,-2.8673,2.3124,8e-05
FEGVUJ,1,1,42.33,-8.7998,-5.9818,2.818,4.41898
FEHKUZ,0,1,105.29,-4.7566,-1.3919,3.3647,8.64249
FEHLIO,0,1,105.6,-4.7797,-1.0286,3.7511,8.58639
FEHNOV,0,2,36.5,-5.5526,-2.9211,2.6315,5.65877
FEKPUG,1,1,100.8,-7.7317,-3.9243,3.8074,0.7966
FENLEP,1,1,91.98,-8.9839,-5.1386,3.8453,1.86631
FERBEK,0,1,71.3,-4.1299,-1.9678,2.1621,1.93524
FERWEH,0,4,-13.3,-4.2146,-2.8162,1.3984,16.65412
FESXOQ,0,6,-48.88,-4.3041,-2.4254,1.8787,6.8366
FEVFET,0,5,-37.48,-4.3815,-2.6496,1.7319,5.22535
FEVNAW,0,1,27.38,-5.9493,-2.8538,3.0955,5.84223
FEWFUI,1,2,63.24,-9.8729,-7.1275,2.7454,0.07669
FEWGIX,1,4,-48.74,-9.8914,-6.2937,3.5977,0.25019
FEWMEA,1,4,-26.15,-8.1721,-5.4537,2.7184,3.53348
FEWRIK,1,5,-24.74,-7.1995,-4.8804,2.3191,8.42631
FEWVEL,0,1,33.01,-4.057,-0.7987,3.2583,6.12362
FEWYAK,1,3,-22.57,-6.1667,-3.572,2.5947,0.5892
FEWYIS,0,2,46.23,-3.4485,-1.0292,2.4193,8.46714
FEXROR,0,4,-34.34,-5.464,-3.642,1.822,0.21507
FEXTUY,0,3,-32.83,-4.4264,-1.4613,2.9651,17.98408
FEYMIG,0,2,40.95,-4.2874,-1.519,2.7684,3e-05
FEZTEM,1,6,-39.55,-7.0756,-4.8952,2.1804,6.50731
FEZXUD,1,4,-43.5,-9.4597,-4.999,4.4607,9.2868
FIDZEY,0,4,-19.59,-5.5427,-2.4588,3.0839,15.14164
FIFDUU,0,3,-26.79,-5.5484,-3.1651,2.3833,9.81906
FIGMEQ,1,3,-38.11,-8.537,-4.6337,3.9033,0.00886
FIHFIO,0,6,-27.11,-5.6163,-3.4222,2.1941,2.28428
FILSEY,0,3,27.5,-3.5226,-1.1296,2.393,3.68202
FIMPIB,-1,1,59.64,-1.542,1.3239,2.8659,5.21623
FIMPOH,0,2,45.3,-4.6613,-2.7103,1.951,4.97302
FIPWEG,0,1,107.7,-5.3634,-1.3566,4.0068,4.24783
FISGAS,1,3,-25.71,-7.6819,-5.5187,2.1632,9.14238
FIWLEE,0,1,39.46,-4.5167,-0.8628,3.6539,10.07394
FIYMOP,1,1,59.95,-8.7033,-4.7087,3.9946,1.84614
FIZQIP,1,5,-41.55,-8.4398,-5.9662,2.4736,2.22173
FOCSOF,0,5,-59.39,-5.4779,-2.4258,3.0521,5.26873
FOGQOI,0,3,-33.74,-5.2363,-2.8234,2.4129,11.53393
FOKYEJ,0,1,141.28,-5.4159,-1.0193,4.3966,6.23803
FOMPUU,0,4,-34.18,-4.5085,-3.4878,1.0207,23.94273
FOMQAB,0,4,-19.13,-4.5534,-3.5443,1.0091,23.87436
FONPUT,0,1,135.11,-4.5469,-1.4904,3.0565,6.50967
FOPJEB,2,3,-46.23,-13.6133,-9.2814,4.3319,0.0
FOQBOC,-1,5,-17.93,-0.6232,1.1769,1.8001,9.42223
FOQNOP,0,1,175.48,-7.4228,-2.6428,4.78,0.0
FOSKEF,1,5,-37.62,-7.4407,-4.7518,2.6889,9.41609
FOSVIS,0,4,-40.41,-4.1366,-0.744,3.3926,9.92777
FOTSIR,0,3,-16.67,-5.4388,-3.1601,2.2787,4.77925
FOTZET,0,1,94.19,-4.586,-0.2488,4.3372,2.11974
FOXCOM,0,4,-16.4,-4.458,-2.6561,1.8019,19.3707
FOXGAB,0,6,-61.37,-4.987,-2.9338,2.0532,8.57084
FUMKIH,0,3,-38.72,-4.5871,-2.0329,2.5542,14.35638
FUNHUS,-1,3,-34.6,-2.187,0.2448,2.4318,1.93451
FUQCUR,1,1,68.41,-8.9792,-5.5074,3.4718,10.47727
FURPEO,-2,1,38.73,1.3372,2.9187,1.5815,0.74765
FURROZ,0,1,152.35,-6.2121,-1.1498,5.0623,2.79525
FUWVOJ,0,6,-45.24,-4.9396,-3.215,1.7246,11.1213
FUYTEA,0,3,-7.85,-4.933,-3.1232,1.8098,3.36074
FUYYAB,0,1,66.32,-5.5673,-2.39,3.1773,7.59105
GADMEH,-1,4,-11.56,-1.6752,1.2467,2.9219,16.45915
GADMOR,-1,5,-24.88,-0.7911,2.0677,2.8588,8.41446
GADTIS,0,6,-28.96,-5.2921,-3.3,1.9921,6.64002
GAGVUG,0,4,-30.91,-5.1078,-2.2641,2.8437,0.21997
GAHJEG,1,1,67.89,-8.014,-4.058,3.956,4.03435
GAMQEQ,0,1,154.9,-5.0883,-1.444,3.6443,9.50746
GAMZAW,0,3,11.88,-3.9353,-1.4808,2.4545,0.26801
GAMZEA,0,3,6.23,-3.9895,-1.3452,2.6443,1e-05
GAMZIE,0,5,-46.79,-4.362,-1.8333,2.5287,6.95069
GAMZOK,0,5,-49.6,-4.6393,-2.1668,2.4725,7.77885
GAPZEC,1,1,47.45,-8.5147,-5.3392,3.1755,0.01498
GARQIB,0,6,-50.82,-4.0798,-2.8001,1.2797,9.19746
GAVNEX,0,6,-19.96,-5.652,-3.3815,2.2705,9.93453
GAVXAC,1,2,76.08,-8.1276,-5.4921,2.6355,0.81674
GAWNAU,0,1,37.22,-4.8418,-1.2679,3.5739,3.65574
GAXYOW,0,3,-17.41,-4.9675,-2.7244,2.2431,4.7934
GAXZEN,0,5,-56.97,-4.793,-2.0514,2.7416,3.49165
GAYXEJ,-1,6,-79.65,-2.0828,1.9255,4.0083,7.64933
GAYZEL,0,5,-19.55,-4.8246,-2.5675,2.2571,1e-05
GAZHAQ,1,1,70.44,-8.5311,-5.0081,3.523,3.16565
GEDFIE,2,1,90.4,-11.6005,-6.845,4.7555,1e-05
GEDJEE,0,3,-40.97,-6.2362,-2.8547,3.3815,3.89721
GEFTIV,0,5,-39.98,-4.7569,-2.1348,2.6221,6.58912
GEFZEX,1,1,50.02,-7.8727,-5.4944,2.3783,10.07844
GEGBUQ,0,3,-16.85,-4.3429,-1.7599,2.583,5.01667
GELBII,0,1,43.65,-5.947,-2.1413,3.8057,2.68837
GELRIY,0,1,107.72,-4.9545,-1.388,3.5665,5.00673
GEMZON,1,1,160.77,-8.9897,-4.649,4.3407,6.36535
GENBUW,0,1,130.74,-4.6483,-1.482,3.1663,7.18763
GENQAS,0,3,-7.04,-5.6322,-3.5621,2.0701,1.74018
GENYOP,0,1,31.11,-4.6973,-2.0085,2.6888,0.85451
GEPBEJ,0,6,-44.6,-4.4276,-2.7611,1.6665,14.10231
GEPPEX,0,3,7.26,-4.4177,-2.2194,2.1983,4.70761
GEPVEF,0,4,-12.72,-5.5031,-3.3591,2.144,1.46341
GEQZUY,0,4,-42.13,-5.9517,-2.4872,3.4645,12.3609
GESMUM,1,1,43.81,-8.6876,-4.943,3.7446,4.15439
GESNAT,0,1,42.12,-5.2297,-1.7672,3.4625,4.28813
GEWNAX,3,1,66.13,-17.0882,-13.4171,3.6711,11.00253
GEZGEA,0,3,-21.89,-5.3248,-2.9527,2.3721,11.49414
GEZGIE,0,3,-22.13,-5.2844,-2.9216,2.3628,9.87316
GIBGON,0,4,-17.86,-5.1732,-2.3288,2.8444,7.7525
GICZIB,1,2,64.67,-9.3269,-6.8231,2.5038,13.23324
GIDKAH,0,4,-41.25,-5.5081,-2.6755,2.8326,12.12558
GIFFOS,-1,3,-35.75,-1.623,0.7429,2.3659,11.63391
GIFJEM,0,5,-67.37,-4.8014,-0.9185,3.8829,1e-05
GIGGUZ,0,4,-25.32,-4.8421,-3.2948,1.5473,14.50107
GILZIK,0,1,27.8,-4.825,-2.6005,2.2245,16.01664
GINSUS,0,1,57.92,-4.1204,-1.1139,3.0065,1.01677
GISLUQ,1,1,109.98,-9.3483,-4.8866,4.4617,3.57008
GISVAF,0,4,-21.71,-4.1095,-2.7653,1.3442,23.66181
GITHEY,0,4,2.87,-4.8423,-2.8278,2.0145,3.18339
GITYOY,0,3,-24.86,-4.8068,-2.4247,2.3821,11.79117
GIXYIV,0,1,117.27,-4.41,-0.9208,3.4892,5.90957
GIYGUT,0,3,-22.24,-5.8754,-3.1308,2.7446,6.69984
GOCDEH,0,1,34.86,-4.517,-1.4396,3.0774,1e-05
GOFXIK,-2,5,-49.98,2.9191,5.3776,2.4585,4.24442
GOHDEN,-1,2,27.7,-1.9539,-0.1437,1.8102,6.31948
GOJFIU,0,1,61.65,-4.7775,-1.6199,3.1576,5.7161
GOJVAC,0,1,124.4,-5.8166,-2.0195,3.7971,7.0255
GOJZIP,-1,1,69.84,-0.9925,1.4374,2.4299,22.93621
GOKREF,1,6,-62.05,-7.5721,-4.1987,3.3734,12.05034
GONTIM,0,1,108.73,-5.8239,-1.6857,4.1382,8.03424
GOQYUG,0,1,24.07,-5.1937,-2.4106,2.7831,0.39725
GOQZIX,0,6,-50.64,-3.9039,-2.1992,1.7047,19.50269
GORWIT,-1,4,-36.98,-1.8206,1.3756,3.1962,8.40479
GOVDOK,0,6,-62.35,-5.1897,-1.2427,3.947,3.17032
GOXBAW,0,3,-37.26,-4.1498,-2.1073,2.0425,20.84897
GOXBOK,0,1,27.38,-5.1233,-2.254,2.8693,4.83808
GOXXEW,0,6,-59.64,-4.597,-2.1518,2.4452,15.27093
GUCBAJ,0,5,-39.17,-4.9119,-2.9425,1.9694,5.23118
GUGCUI,0,4,-21.3,-4.7902,-1.7192,3.071,1.70668
GUGYIS,-1,6,-22.85,-2.3449,-1.2972,1.0477,26.24365
GULWUH,0,4,-42.17,-5.339,-2.4615,2.8775,5.23772
GUQYOH,0,6,-17.86,-4.8149,-2.9513,1.8636,5.49155
GUSCOP,1,1,58.42,-7.4948,-4.353,3.1418,3.59789
GUSJAI,0,1,65.18,-4.2213,0.208,4.4293,4.66587
GUTXEB,1,1,73.05,-7.4664,-5.1595,2.3069,4.26804
GUTXOL,1,2,62.33,-7.9548,-5.6451,2.3097,6.55826
GUTYAY,0,1,50.56,-4.1815,-2.4044,1.7771,6.99047
GUVZIH,0,1,33.85,-4.7001,-1.8718,2.8283,4.55048
GUWWAW,0,4,-28.56,-5.4275,-3.0182,2.4093,10.38748
GUZCUZ,0,3,4.0,-5.0378,-2.3389,2.6989,3.59423
GUZTIH,0,4,-6.51,-4.6206,-2.0895,2.5311,4.92655
HABRAG,0,3,-28.46,-5.198,-2.1597,3.0383,7.19712
HAFQUB,0,1,79.3,-4.9999,-0.7174,4.2825,1.19004
HAFRAI,1,2,85.03,-9.7046,-6.8627,2.8419,1.00763
HAGHOO,0,5,-60.1,-3.3054,0.0411,3.3465,0.73995
HAHHII,0,1,23.5,-4.7011,-1.8538,2.8473,4.66218
HAHXOE,0,6,-63.04,-4.8798,-3.2496,1.6302,12.01466
HAHYAR,0,6,-53.18,-4.8599,-3.2368,1.6231,12.53563
HAKPUF,0,1,86.12,-5.041,-1.8356,3.2054,4.40292
HAKQEQ,0,4,-39.12,-5.3955,-2.5877,2.8078,4.75185
HALBEB,0,3,-17.42,-4.7196,-2.4069,2.3127,7.62422
HANJIP,2,1,63.95,-13.7359,-10.3452,3.3907,11.53366
HARLER,1,6,-9.87,-8.2998,-5.7763,2.5235,5e-05
HASJEQ,0,1,50.25,-4.3937,-1.3316,3.0621,10.0909
HATNOG,1,1,137.27,-9.2733,-4.4561,4.8172,8.06565
HATNUM,0,1,151.8,-5.9143,-1.003,4.9113,6.23999
HATPAU,0,1,134.95,-6.0405,-1.5123,4.5282,8.12232
HAVRII,-1,6,-19.66,-3.0151,-0.5907,2.4244,1e-05
HAWNUQ,1,1,122.36,-9.2295,-5.3213,3.9082,8.69267
HAWSEF,0,4,-29.27,-4.3573,-1.5529,2.8044,1.93249
HAXCOA,-1,1,93.63,-2.3461,0.9604,3.3065,6.10038
HAXXOU,0,6,-16.88,-4.7196,-3.2674,1.4522,15.01151
HEBMOQ,0,1,69.51,-4.4976,-0.9716,3.526,3.13641
HEBPUZ,0,1,45.72,-4.0022,-0.6953,3.3069,0.41129
HECVER,0,5,-45.81,-4.503,-2.2202,2.2828,1.19183
HEFGEG,0,3,-23.85,-5.1325,-2.9714,2.1611,12.99758
HEHJOW,-1,3,22.31,-2.0134,-0.0811,1.9323,0.00148
HEKXIG,-2,4,-43.48,1.7916,5.3115,3.5199,1e-05
HELJAJ,1,1,83.59,-10.2012,-6.4933,3.7079,11.85963
HEQZEI,0,2,9.45,-6.5835,-3.9468,2.6367,0.01231
HERFIT,0,1,13.92,-3.7676,-1.6481,2.1195,2.85378
HERGUG,0,1,50.62,-6.4257,-2.9889,3.4368,6.22225
HERHAN,1,1,51.36,-9.7783,-6.693,3.0853,3.25411
HERTII,2,1,42.53,-11.9952,-8.5914,3.4038,7.44391
HERVOQ,1,1,31.21,-8.4154,-5.5471,2.8683,5.68093
HESMIB,1,4,-42.36,-9.086,-5.2883,3.7977,13.75182
HESNAX,0,1,37.69,-4.1211,-1.5007,2.6204,6.01751
HETLEX,0,1,26.89,-4.4652,-2.136,2.3292,4.64153
HEYKOL,0,1,48.78,-5.0984,-1.2374,3.861,1.77173
HEYMIH,2,1,91.39,-12.8957,-9.2455,3.6502,2.34266
HEYNII,0,1,47.43,-3.9958,-1.0844,2.9114,2.25252
HEYNOO,0,1,45.23,-4.0805,-1.1031,2.9774,1.53504
HEYPEG,0,5,-29.96,-4.6529,-2.1795,2.4734,8.34837
HIDQUJ,2,5,-62.82,-9.7277,-8.0459,1.6818,2.66416
HIDXUP,0,4,-35.61,-4.9832,-1.7179,3.2653,7.95142
HIFCAD,1,1,89.23,-6.6763,-4.4744,2.2019,10.90644
HIGVAV,0,2,54.3,-5.7211,-3.3363,2.3848,4.72414
HIHZII,0,1,108.21,-4.2988,-0.7626,3.5362,6.56698
HIKNAR,0,1,100.16,-5.3068,-2.195,3.1118,3.98344
HIKNEV,0,1,87.41,-5.2563,-2.2318,3.0245,4.32811
HIKNIZ,0,1,69.31,-5.2451,-2.1521,3.093,2.95249
HIMKOE,1,3,-21.53,-8.1379,-5.5955,2.5424,8.20822
HIMLIZ,0,5,-44.58,-4.6259,-2.4463,2.1796,8.97135
HIMYAD,0,3,-23.2,-5.0605,-2.1935,2.867,6.57175
HINTUU,0,1,113.21,-4.6191,-1.2145,3.4046,10.82227
HINVUY,1,1,36.27,-7.5428,-4.7778,2.765,3.06405
HIPCIS,0,1,53.24,-4.8439,-1.4053,3.4386,13.1504
HIPKUO,0,6,-63.48,-4.3733,-1.5841,2.7892,0.08476
HIPLAU,0,5,-52.13,-4.4166,-1.6441,2.7725,7.17341
HIPLEY,0,4,-29.27,-4.9126,-2.0133,2.8993,7.50911
HIPLIC,0,5,-44.27,-3.9884,-1.0948,2.8936,6.58558
HIPLOI,0,4,-21.31,-4.1483,-1.377,2.7713,7.06328
HIQLUR,0,1,22.98,-4.0057,-1.5331,2.4726,10.27307
HITHOI,0,6,-30.2,-5.1791,-3.211,1.9681,8.74812
HIVDAS,2,3,-36.69,-12.8428,-9.5333,3.3095,1e-05
HIXZUJ,2,6,-45.54,-11.1465,-8.427,2.7195,0.54268
HIYRUE,-2,2,88.12,1.1623,3.1835,2.0212,14.83603
HIZDID,0,6,-58.82,-4.3638,-1.093,3.2708,4.10938
HIZTUF,0,1,26.08,-4.6428,-2.1419,2.5009,6.77855
HMSIAF13,0,6,-24.98,-5.6988,-3.8447,1.8541,0.00249
HOCREX,1,5,-40.53,-8.1819,-5.3879,2.794,5.97779
HOGFIV,0,5,-53.82,-4.9393,-2.8229,2.1164,17.75694
HOGHEQ,0,2,56.57,-4.8856,-2.8462,2.0394,3.2179
HOHBUB,0,4,-19.85,-4.8992,-2.6411,2.2581,4.50494
HOHCAI,0,4,-34.33,-4.6346,-1.4301,3.2045,6.54495
HOKXAG,2,3,-41.89,-12.3954,-8.4652,3.9302,0.0
HOMKUP,0,4,-18.82,-5.0616,-2.4648,2.5968,6.91681
HONGAV,0,5,-41.28,-4.6069,-2.1672,2.4397,7.13971
HONZIT,0,4,-29.02,-4.8925,-2.1942,2.6983,3.41013
HONZOZ,0,4,-33.68,-4.72,-2.1863,2.5337,3.38101
HONZUF,0,4,-24.93,-4.3017,-1.8041,2.4976,1.72843
HOPCEU,2,1,22.95,-12.8603,-10.0809,2.7794,0.0
HOPYIW,0,1,27.71,-5.1045,-3.0076,2.0969,7.91476
HOSRUD,0,5,-13.25,-5.1359,-2.8991,2.2368,0.00192
HOTRIS,0,1,17.24,-4.4592,-1.9484,2.5108,3.62627
HOTVIW,-1,4,-43.77,-2.6082,0.9873,3.5955,0.11051
HOTXIX,0,1,27.63,-4.8725,-2.1275,2.745,7.26839
HOYFUW,-1,1,17.81,-1.2775,1.0515,2.329,9.20035
HOYHOS,0,5,-45.06,-5.1221,-3.8028,1.3193,9.68064
HUBLEW,-1,1,22.79,-0.4018,1.5099,1.9117,10.23128
HUBLUM,-1,1,27.06,-2.0217,0.207,2.2287,5.20498
HUBMUN,-1,1,38.73,-1.8853,0.2287,2.114,7.63156
HUDGOC,2,6,-56.78,-10.5734,-7.0362,3.5372,0.60364
HUKJAA,0,4,-14.95,-4.6291,-2.3548,2.2743,2.84497
HULQAI,-2,6,-18.96,-0.1499,1.7159,1.8658,12.59546
HUMBEX,4,5,-11.15,-16.9771,-14.6227,2.3544,0.45313
HUMZEW,0,6,-64.44,-4.452,-1.6604,2.7916,16.4246
HUPLIQ,1,3,-30.14,-8.7886,-5.9102,2.8784,6.51384
HUQFAA,2,1,69.98,-12.7029,-8.4888,4.2141,0.70478
HURSAR,0,4,-26.96,-5.1443,-2.176,2.9683,10.07701
HUSXUP,-2,5,-45.08,1.9152,4.1822,2.267,0.35378
HUTCOR,0,6,-64.53,-5.774,-1.8525,3.9215,6.49118
HUWTIF,2,1,44.33,-10.4332,-7.2772,3.156,2.17297
HUXWAZ,0,2,42.18,-4.6261,-2.0675,2.5586,2.68099
HUXWED,0,2,46.06,-4.6365,-2.1719,2.4646,3.20949
HUYDUB,1,1,52.29,-7.5229,-5.5433,1.9796,9.02799
HZHCXC,0,4,-8.22,-5.1709,-2.2747,2.8962,3e-05
IBEGIH,0,6,-31.31,-5.8112,-3.49,2.3212,7.56372
IBUQOL,2,1,59.49,-12.2198,-9.5599,2.6599,9.4069
ICASOV,0,4,-27.15,-4.7819,-2.5866,2.1953,6.63896
ICATIS,0,6,-63.19,-3.8207,-2.7118,1.1089,6.80659
IDIKUD,0,6,-49.83,-4.0211,-3.2063,0.8148,28.74972
IDUBEO,-1,1,108.13,-2.2802,1.6607,3.9409,2.92895
IDUBOY,-1,1,102.11,-2.3079,1.7057,4.0136,9.2251
IFEYOK,2,1,51.41,-10.7943,-8.0525,2.7418,2.99515
IFIXON,0,4,-12.63,-5.4925,-2.3454,3.1471,3.66958
IFODIR,0,1,78.31,-4.4666,-2.0835,2.3831,7.95414
IFOPAU,-1,6,-45.11,-0.7436,1.5063,2.2499,4.85773
IFUFIY,-1,6,-54.54,-1.1673,2.3314,3.4987,0.34454
IGIMIU,0,1,94.57,-4.2745,-0.7519,3.5226,4.70224
IGUQUY,1,6,-37.64,-7.4089,-4.7427,2.6662,7.07263
IGUREJ,1,4,-9.73,-8.0945,-5.2344,2.8601,6.91385
IHABID,0,1,104.99,-5.6762,-1.4687,4.2075,5.42496
IHALUZ,0,6,-33.91,-4.3119,-1.6049,2.707,3e-05
IHETOG,0,4,-36.15,-5.3141,-2.6064,2.7077,2.75681
IHEVUM,0,5,-64.37,-4.8851,-1.8745,3.0106,0.17743
IHIGEN,0,1,109.22,-4.6593,-1.635,3.0243,8.03001
IHUDUL,0,1,53.87,-3.739,-0.0471,3.6919,4.57221
