refcode,total_charge,multiplicity,HOMO_Ha,LUMO_Ha,gap_Ha,dipole_moment_Debye
GUGJOJ,0,1,-0.1942,-0.05834,0.13586,4.5206
GUKHUR,0,1,-0.19402,-0.06942,0.1246,8.38
GULRAI,0,1,-0.18072,-0.07367,0.10705,7.2321
GUMWUH,1,1,-0.2503,-0.21414,0.03616,4.4118
GUPGEF,0,1,-0.16325,-0.0891,0.07415,3.8724
GURKOU,0,1,-0.21094,-0.0957,0.11524,0.0006
GURKUA,0,1,-0.21739,-0.09591,0.12148,0.0031
GUSRIW,0,1,-0.18604,-0.05361,0.13243,5.9403
GUSXOH,0,1,-0.19564,-0.10243,0.09321,10.5855
GUSXUN,0,1,-0.19792,-0.08723,0.11069,3.7364
GUTNEO,1,1,-0.26506,-0.19509,0.06997,3.3192
GUWNIX,0,1,-0.17534,-0.07759,0.09775,0.0655
GUWNOD,0,1,-0.16935,-0.07322,0.09613,0.084
GUWNUJ,0,1,-0.18265,-0.08438,0.09827,1.2314
GUZKER,0,1,-0.23648,-0.1308,0.10568,15.9056
GUZPUN,0,1,-0.17967,-0.09196,0.08771,3.0046
HABFEX,0,1,-0.18296,-0.08755,0.09541,4.6071
HABGOJ,0,1,-0.16387,-0.07569,0.08818,5.2182
HABGUP,1,1,-0.27638,-0.20711,0.06927,8.4558
HACCIZ,0,1,-0.19191,-0.15148,0.04043,14.0163
HACDAS,0,1,-0.17395,-0.07855,0.0954,0.0768
HACDIA,0,1,-0.18309,-0.08703,0.09606,0.0004
HACDOG,0,1,-0.18836,-0.09537,0.09299,0.0003
HACDUM,0,1,-0.17169,-0.07613,0.09556,0.0009
HACFEY,0,1,-0.17273,-0.07731,0.09542,0.0006
HACFID,1,1,-0.29267,-0.2072,0.08547,11.9595
HACFUP,0,1,-0.18704,-0.0891,0.09794,4.7305
HAFXIY,0,1,-0.18552,-0.09655,0.08897,14.2269
HAHPAI,0,1,-0.12286,-0.11971,0.00315,0.201
HAHPEM,0,1,-0.12155,-0.11881,0.00274,0.9452
HAHROX,0,1,-0.19887,-0.09562,0.10325,12.5219
HAKHEG,0,1,-0.21284,-0.08924,0.1236,13.7049
HAKHIK,0,1,-0.20951,-0.08214,0.12737,9.7628
HALTIX,0,1,-0.18106,-0.09153,0.08953,0.0008
HALVAR,0,1,-0.18108,-0.09153,0.08955,0.0018
HALVEV,0,1,-0.18107,-0.09154,0.08953,0.0001
HALVIZ,0,1,-0.18112,-0.09154,0.08958,0.0005
HALVUL,0,1,-0.18098,-0.09164,0.08934,0.0002
HALWIA,0,1,-0.18104,-0.09154,0.0895,0.0007
HAMBOM,0,1,-0.18227,-0.09131,0.09096,0.0
HAMBUS,0,1,-0.18104,-0.09155,0.08949,0.0012
HAMCAZ,0,1,-0.181,-0.09158,0.08942,0.0021
HAMCED,0,1,-0.18109,-0.09153,0.08956,0.0004
HAMCON,0,1,-0.18103,-0.09154,0.08949,0.0
HAMCUT,0,1,-0.18109,-0.0915,0.08959,0.0001
HAMDEE,0,1,-0.18102,-0.09158,0.08944,0.0002
HAMDUU,0,1,-0.18103,-0.09157,0.08946,0.0003
HAMFEG,0,1,-0.18101,-0.09158,0.08943,0.0001
HAMFIK,0,1,-0.18103,-0.09155,0.08948,0.0003
HAMGAD,0,1,-0.18104,-0.09154,0.0895,0.0007
HAMGEH,0,1,-0.18115,-0.09155,0.0896,0.0006
HAMGIL,0,1,-0.18108,-0.09153,0.08955,0.0002
HAMHUY,0,1,-0.18106,-0.09154,0.08952,0.0005
HAMJEK,0,1,-0.18111,-0.09153,0.08958,0.0001
HAMJOU,0,1,-0.17134,-0.16747,0.00387,0.1181
HAMKAH,0,1,-0.18106,-0.09155,0.08951,0.0001
HAMKEL,0,1,-0.18101,-0.09156,0.08945,0.0001
HAMKOV,0,1,-0.18078,-0.0916,0.08918,0.0202
HAMKUB,0,1,-0.18103,-0.09155,0.08948,0.0002
HAMLEM,0,1,-0.18105,-0.09153,0.08952,0.0006
HAMMOX,0,1,-0.18102,-0.09156,0.08946,0.0003
HAPSOJ,0,1,-0.20977,-0.08998,0.11979,7.58
HAQHOW,1,1,-0.26232,-0.20332,0.059,4.7284
HARKOC,0,1,-0.21251,-0.06332,0.14919,8.5109
HASLAQ,0,1,-0.17885,-0.17197,0.00688,32.6007
HASMEW,1,1,-0.32633,-0.2312,0.09513,3.6713
HATLAR,1,1,-0.30883,-0.12694,0.18189,16.7704
HAVBOW,0,1,-0.18238,-0.05964,0.12274,4.8064
HAVBUC,0,1,-0.17019,-0.04331,0.12688,1.8208
HAVFIV,-1,1,-0.06432,0.01141,0.07573,8.6408
HAVFOB,0,1,-0.19687,-0.09881,0.09806,4.7969
HAVFUH,0,1,-0.19565,-0.09439,0.10126,6.3944
HAVGAO,0,1,-0.1931,-0.0904,0.1027,6.045
HAVGES,0,1,-0.19286,-0.09118,0.10168,5.758
HAVGIW,0,1,-0.18394,-0.09183,0.09211,6.7405
HAVGOC,0,1,-0.20271,-0.10237,0.10034,4.6158
HAVGUI,0,1,-0.17923,-0.08899,0.09024,2.3695
HAVHAP,0,1,-0.17717,-0.08389,0.09328,3.7219
HAVHET,0,1,-0.17555,-0.08138,0.09417,4.5146
HAVHOD,0,1,-0.17545,-0.08366,0.09179,4.5378
HAVHUJ,0,1,-0.17672,-0.0925,0.08422,3.4848
HAVNOK,0,1,-0.19329,-0.07334,0.11995,6.5912
HAVNUQ,0,1,-0.18152,-0.07122,0.1103,2.1389
HAVPEC,1,1,-0.28057,-0.17133,0.10924,7.8004
HAVPIG,1,1,-0.30218,-0.17412,0.12806,10.5923
HAVTOQ,0,1,-0.19239,-0.09139,0.101,2.5846
HAWFOC,1,1,-0.28173,-0.18947,0.09226,1.6956
HAWTEG,0,1,-0.1678,-0.09507,0.07273,8.4599
HAXFAQ,1,1,-0.27709,-0.15331,0.12378,4.814
HAXFEU,1,1,-0.26843,-0.14433,0.1241,5.5114
HAXFOE,0,1,-0.1686,-0.08802,0.08058,10.4933
HAXQUT,0,1,-0.17117,-0.08487,0.0863,0.0009
HAYNAX,1,1,-0.33574,-0.23696,0.09878,8.0056
HAYYEL,0,1,-0.18704,-0.10293,0.08411,16.5635
HAZFAR,0,1,-0.21058,-0.07209,0.13849,7.5415
HAZHOH,0,1,-0.20108,-0.09846,0.10262,7.5666
HECMUA,0,1,-0.15073,-0.08874,0.06199,9.2675
HECXES,1,1,-0.33448,-0.23125,0.10323,7.3328
HEDKAF,1,1,-0.27526,-0.17932,0.09594,5.1757
HEDYAT,1,1,-0.27449,-0.17816,0.09633,5.0914
HEHGIN,0,1,-0.21296,-0.04148,0.17148,9.2453
HEHGOT,0,1,-0.2239,-0.09714,0.12676,10.3747
HELMAP,1,1,-0.27031,-0.18872,0.08159,5.6497
HELPAS,1,1,-0.26898,-0.20442,0.06456,3.7571
HENZEI,0,1,-0.2042,-0.08906,0.11514,0.8571
HEQCIS,0,1,-0.15177,-0.0958,0.05597,8.7495
HEQPEY,1,1,-0.28323,-0.19795,0.08528,4.443
HERVIM,0,1,-0.17189,-0.08183,0.09006,1.5629
HERXOS,0,1,-0.18737,-0.08851,0.09886,5.3348
HERYAF,0,1,-0.17749,-0.08044,0.09705,9.039
HERYEJ,0,1,-0.19856,-0.12321,0.07535,3.8356
HETCUE,0,1,-0.17726,-0.08461,0.09265,0.0468
HETDAL,0,1,-0.17321,-0.08558,0.08763,0.0927
HEWDAO,0,1,-0.16996,-0.07992,0.09004,0.31
HEXNOP,0,1,-0.2095,-0.11707,0.09243,9.4125
HEXNUV,1,1,-0.32335,-0.21706,0.10629,9.2836
HEYZUI,0,1,-0.18569,-0.0424,0.14329,3.4294
HIBPEP,0,1,-0.16664,-0.06667,0.09997,3.061
HICLAG,0,1,-0.19414,-0.10458,0.08956,2.4174
HICMEN,0,1,-0.1552,-0.0398,0.1154,0.146
HIDFOR,0,1,-0.17819,-0.07504,0.10315,2.0715
HIDKUB,0,1,-0.19178,-0.06448,0.1273,0.0144
HIDLAI,0,1,-0.18441,-0.06306,0.12135,0.009
HIFJAJ,0,1,-0.20076,-0.11132,0.08944,5.6125
HIGPUK,0,1,-0.1737,-0.08599,0.08771,2.3777
HIGQOF,1,1,-0.27966,-0.22048,0.05918,6.9876
HIHPAR,0,1,-0.17466,-0.07137,0.10329,0.0201
HIHPEV,0,1,-0.17448,-0.07101,0.10347,0.0005
HIJHAL,0,1,-0.15403,-0.05593,0.0981,6.5748
HIJHEP,0,1,-0.14588,-0.05805,0.08783,8.3854
HIJHIT,0,1,-0.14656,-0.05377,0.09279,6.5779
HIJPAT,1,1,-0.30458,-0.14397,0.16061,0.0008
HIJQUP,1,1,-0.26912,-0.17613,0.09299,5.5331
HIMFEP,0,1,-0.1806,-0.0623,0.1183,7.9906
HIMGAO,0,1,-0.20699,-0.10624,0.10075,4.3099
HIPXEK,0,1,-0.19084,-0.0998,0.09104,9.9738
HIQBEO,0,1,-0.20401,-0.10874,0.09527,7.2625
HIQBIS,0,1,-0.18446,-0.07554,0.10892,4.9258
HIQDAO,0,1,-0.16876,-0.10554,0.06322,12.6424
HIRMON,0,1,-0.18263,-0.07521,0.10742,0.9531
HIRWOU,1,1,-0.26107,-0.1832,0.07787,5.6011
HISLOM,1,1,-0.29845,-0.20266,0.09579,10.7158
HITGAU,0,1,-0.17182,-0.09667,0.07515,9.92
HITGIC,0,1,-0.17175,-0.09668,0.07507,9.9254
HIVPOS,0,1,-0.19626,-0.10839,0.08787,8.5881
HIVVAL,0,1,-0.20738,-0.10339,0.10399,6.0079
HIVZAQ,0,1,-0.19016,-0.09602,0.09414,0.0017
HIWJED,0,1,-0.21709,-0.03817,0.17892,6.0132
HIWJIH,0,1,-0.19745,-0.02598,0.17147,0.0018
HIWJON,0,1,-0.2129,-0.04149,0.17141,6.0473
HIXLOS,-1,1,-0.09352,0.03492,0.12844,15.408
HOBGIO,0,1,-0.18231,-0.08976,0.09255,2.7426
HOCMET,0,1,-0.19593,-0.07979,0.11614,5.089
HOGJAO,0,1,-0.15434,-0.10627,0.04807,0.6906
HOGNAU,0,1,-0.20396,-0.10224,0.10172,6.1863
HOHKOF,0,1,-0.17135,-0.08934,0.08201,0.3924
HOHKUL,0,1,-0.16996,-0.0908,0.07916,0.1446
HOHMUP,0,1,-0.15538,-0.1211,0.03428,11.1366
HOHQEB,1,1,-0.27876,-0.1929,0.08586,4.8639
HOHQUT,0,1,-0.16845,-0.12438,0.04407,13.1998
HOJDOZ,0,1,-0.19183,-0.10881,0.08302,11.4048
HOKJAU,0,1,-0.21286,-0.05781,0.15505,6.4046
HOKLUQ,0,1,-0.19653,-0.12228,0.07425,6.9834
HONNAB,0,1,-0.15555,-0.11008,0.04547,15.8488
HONWAK,0,1,-0.16313,-0.09545,0.06768,8.534
HORJAB,0,1,-0.17892,-0.098,0.08092,3.3205
HOVPEP,0,1,-0.19095,-0.08173,0.10922,3.3193
HOWVEV,0,1,-0.17875,-0.1171,0.06165,14.6728
HOWVIZ,0,1,-0.17957,-0.11985,0.05972,14.3184
HOWWAS,0,1,-0.20659,-0.11316,0.09343,11.2477
HOWWEW,0,1,-0.20246,-0.10008,0.10238,0.0057
HUBCUD,0,1,-0.20512,-0.10353,0.10159,9.0274
HUBDAK,0,1,-0.20558,-0.10099,0.10459,8.9881
HUBDEO,0,1,-0.2063,-0.10175,0.10455,8.8429
HUBDIS,0,1,-0.20412,-0.10175,0.10237,9.6552
HUBDOY,0,1,-0.20163,-0.09969,0.10194,8.0446
HUBDUE,0,1,-0.19808,-0.09986,0.09822,9.026
HUFPEF,0,1,-0.19914,-0.10522,0.09392,4.0216
HUJGOK,0,1,-0.17178,-0.12207,0.04971,9.1258
HUJZOD,0,1,-0.17314,-0.0616,0.11154,2.3443
HULSAI,1,1,-0.24525,-0.18517,0.06008,10.0564
HUMCOJ,0,1,-0.20783,-0.0983,0.10953,13.7728
HUPDOL,0,1,-0.19418,-0.10655,0.08763,0.0026
HUPMUA,0,1,-0.17517,-0.05239,0.12278,0.0014
HUPTET,0,1,-0.19196,-0.08345,0.10851,6.6145
HUPYEX,0,1,-0.19112,-0.10208,0.08904,0.0006
HUPYOH,0,1,-0.19385,-0.10084,0.09301,0.0022
HUQXIC,0,1,-0.20042,-0.10865,0.09177,9.2245
HUQXUO,0,1,-0.20402,-0.10744,0.09658,9.5199
HUSHIM,1,1,-0.26822,-0.20995,0.05827,9.7339
HUTMEO,0,1,-0.1707,-0.08639,0.08431,2.6414
HUTVUO,0,1,-0.1824,-0.06302,0.11938,8.8442
HUTWEZ,1,1,-0.31719,-0.18027,0.13692,9.3226
HUTWID,0,1,-0.16366,-0.05101,0.11265,6.4832
HUVKOZ,0,1,-0.18916,-0.07749,0.11167,1.9906
HUWLIV,1,1,-0.29338,-0.20374,0.08964,6.8025
HUWLOC,0,1,-0.18683,-0.10751,0.07932,11.7791
HUYYAD,1,1,-0.28446,-0.17875,0.10571,4.2817
IBIZUP,0,1,-0.17519,-0.06734,0.10785,0.0086
IBUFES,0,1,-0.16421,-0.05018,0.11403,4.0992
IBUGET,0,1,-0.15451,-0.05792,0.09659,5.795
IBUGIX,0,1,-0.15342,-0.05666,0.09676,5.9139
ICEGII,0,1,-0.19138,-0.14533,0.04605,20.2557
ICEGOO,0,1,-0.1887,-0.14519,0.04351,20.936
ICEGUU,0,1,-0.1899,-0.14337,0.04653,20.4488
ICOJOB,0,1,-0.19169,-0.09331,0.09838,4.9599
ICOKAO,0,1,-0.19054,-0.09599,0.09455,8.3742
ICOLIX,0,1,-0.15449,-0.04567,0.10882,5.6457
ICOLOD,0,1,-0.14684,-0.04208,0.10476,5.557
ICUHOG,0,1,-0.15533,-0.03961,0.11572,7.9577
ICUHUM,0,1,-0.1565,-0.04346,0.11304,9.274
ICUJAU,0,1,-0.14923,-0.04591,0.10332,10.0325
ICUJEY,0,1,-0.14823,-0.04283,0.1054,10.628
IDAMEH,1,1,-0.31683,-0.14105,0.17578,2.1466
IDOPOH,0,1,-0.1672,-0.0888,0.0784,5.9378
IDUCEP,0,1,-0.17194,-0.10403,0.06791,8.1483
IDUCIT,0,1,-0.17519,-0.10887,0.06632,9.5819
IFIQAR,0,1,-0.21202,-0.04814,0.16388,10.5141
IFIWOK,0,1,-0.19877,-0.04861,0.15016,7.2456
IFIWUQ,0,1,-0.19969,-0.04917,0.15052,7.2441
IFUJAW,0,1,-0.20817,-0.10588,0.10229,9.9397
IFUJOK,0,1,-0.2036,-0.10796,0.09564,8.8962
IGEZEB,0,1,-0.21102,-0.08476,0.12626,14.0194
IGOBAI,0,1,-0.1895,-0.07534,0.11416,4.6622
IGOCAJ,0,1,-0.19109,-0.07322,0.11787,4.7152
IGOCEN,0,1,-0.1893,-0.07377,0.11553,6.4076
IGOCIR,0,1,-0.19136,-0.07438,0.11698,5.7376
IGOPIF,1,1,-0.28506,-0.19609,0.08897,2.631
IGUPEG,0,1,-0.15916,-0.04041,0.11875,0.9114
IGUXEO,1,1,-0.26068,-0.14632,0.11436,0.0033
IHAZUN,0,1,-0.17888,-0.06893,0.10995,2.0558
IHEBAZ,0,1,-0.17998,-0.08207,0.09791,1.8622
IHEBED,0,1,-0.17734,-0.06721,0.11013,1.9994
IHIREY,1,1,-0.26712,-0.17458,0.09254,3.8021
IHIRIC,1,1,-0.25819,-0.1777,0.08049,5.4617
IHIROI,1,1,-0.27558,-0.17496,0.10062,4.4107
IHIZEE,0,1,-0.15442,-0.04265,0.11177,5.037
IHOFAM,0,1,-0.16138,-0.10566,0.05572,11.2309
IHOFEQ,0,1,-0.18555,-0.10687,0.07868,10.1236
IHOYAH,0,1,-0.19614,-0.13367,0.06247,11.0012
IHOYUB,0,1,-0.2011,-0.12836,0.07274,9.7932
IHUBOD,0,1,-0.18323,-0.06828,0.11495,1.6073
IHUBUJ,0,1,-0.18529,-0.07001,0.11528,2.5509
IHUCAQ,0,1,-0.18031,-0.06634,0.11397,1.4381
IHUCEU,0,1,-0.19036,-0.08395,0.10641,2.6307
IHUCOE,0,1,-0.1831,-0.08496,0.09814,1.0871
IHUCUK,0,1,-0.18078,-0.08372,0.09706,2.0457
IJAGEG,1,1,-0.25323,-0.219,0.03423,10.6135
IJEGAH,0,1,-0.17917,-0.10117,0.078,10.0593
IJEGEL,0,1,-0.1808,-0.10263,0.07817,10.3534
IJIPIC,0,1,-0.18535,-0.12564,0.05971,8.8301
IJOMIF,0,1,-0.15509,-0.07467,0.08042,3.3232
IJOSIJ,0,1,-0.16959,-0.08638,0.08321,0.0134
IJOSOP,0,1,-0.16716,-0.08591,0.08125,0.3293
IKISEC,0,1,-0.15173,-0.09715,0.05458,11.6816
IKOYUE,0,1,-0.17559,-0.07352,0.10207,4.5641
ILEFEM,0,1,-0.18153,-0.10734,0.07419,7.6998
ILEFOW,0,1,-0.19912,-0.11088,0.08824,8.0179
ILEGAJ,0,1,-0.19593,-0.11283,0.0831,8.5287
ILEGIR,0,1,-0.17778,-0.10132,0.07646,7.7268
ILEGUD,0,1,-0.16588,-0.10643,0.05945,5.9919
ILEHAK,0,1,-0.16922,-0.10653,0.06269,6.9336
ILEPAR,0,1,-0.16443,-0.0704,0.09403,8.169
ILEPEV,0,1,-0.16732,-0.07334,0.09398,7.4238
ILIVAB,0,1,-0.19151,-0.05924,0.13227,1.5909
ILOPIJ,0,1,-0.18847,-0.05148,0.13699,0.0062
ILUQUB,0,1,-0.19429,-0.072,0.12229,0.004
IMAFEJ,1,1,-0.26468,-0.15466,0.11002,4.0085
IMAZUR,0,1,-0.18761,-0.04405,0.14356,0.0213
IMODOE,0,1,-0.18373,-0.05731,0.12642,2.6447
IMOFIA,0,1,-0.19192,-0.07314,0.11878,6.9281
IMOVUC,1,1,-0.29488,-0.16545,0.12943,12.4552
IMOWAJ,1,1,-0.29381,-0.16457,0.12924,11.7663
IMOYUF,0,1,-0.14957,-0.10814,0.04143,9.4893
INOFAU,0,1,-0.16772,-0.05567,0.11205,0.0049
INOYUG,0,1,-0.18017,-0.11931,0.06086,7.3375
INOZAN,0,1,-0.17958,-0.11956,0.06002,7.7216
INOZER,0,1,-0.18456,-0.1243,0.06026,8.6449
INOZIV,0,1,-0.17827,-0.1245,0.05377,11.7051
INOZUH,0,1,-0.17864,-0.12456,0.05408,11.3246
IPACPT,0,1,-0.17055,-0.04655,0.124,0.0029
IPEQOJ,1,1,-0.27711,-0.19095,0.08616,5.6956
IPERAW,1,1,-0.28956,-0.1952,0.09436,8.1743
IPIROQ,0,1,-0.21393,-0.14408,0.06985,3.4824
IPIRUW,0,1,-0.20193,-0.12947,0.07246,6.3049
IPOQIO,0,1,-0.17355,-0.06481,0.10874,1.652
IPOQOU,0,1,-0.17619,-0.06524,0.11095,4.183
IQEGER,0,1,-0.1591,-0.06494,0.09416,3.3738
IQUJEL,0,1,-0.21532,-0.13108,0.08424,8.433
IQUNEP,0,1,-0.19176,-0.08323,0.10853,8.6412
IQUROD,0,1,-0.21087,-0.07491,0.13596,9.4149
IRINED,0,1,-0.18084,-0.0938,0.08704,0.0001
IRUMOY,0,1,-0.2169,-0.07997,0.13693,8.496
ISAQEZ,0,1,-0.18246,-0.07949,0.10297,7.0477
ISIXEP,0,1,-0.17695,-0.08295,0.094,7.5588
ISIXUF,0,1,-0.19593,-0.07373,0.1222,8.2061
ISIYIU,0,1,-0.19462,-0.07293,0.12169,8.2885
ISOGAA,0,1,-0.18322,-0.0702,0.11302,1.6195
ISOKEH,1,1,-0.31207,-0.14544,0.16663,2.3154
ISOQEO,0,1,-0.22576,-0.106,0.11976,8.6647
ISOQIS,0,1,-0.22136,-0.10694,0.11442,8.5082
ISOQOY,0,1,-0.22057,-0.1047,0.11587,8.5435
ISOQUE,0,1,-0.21833,-0.1067,0.11163,8.8695
ISORAL,0,1,-0.21787,-0.10503,0.11284,8.768
ISOREP,0,1,-0.21874,-0.10435,0.11439,8.4661
ISORIT,0,1,-0.21236,-0.1049,0.10746,8.6638
ISOROZ,0,1,-0.22801,-0.11645,0.11156,8.3042
ISORUF,0,1,-0.22794,-0.11558,0.11236,8.3493
ISOSAM,0,1,-0.22441,-0.11515,0.10926,8.165
ISOSEQ,0,1,-0.22447,-0.11521,0.10926,8.0953
ISOSIU,0,1,-0.22266,-0.11404,0.10862,8.2226
ISOSOA,0,1,-0.21833,-0.11313,0.1052,8.0917
ISUBUV,0,1,-0.19588,-0.09477,0.10111,10.2253
ISUWOJ,0,1,-0.21798,-0.07526,0.14272,7.2582
ISUYAW,0,1,-0.18479,-0.07202,0.11277,5.5067
ITACAH,0,1,-0.19002,-0.11573,0.07429,11.311
ITACEN,0,1,-0.16493,-0.06602,0.09891,8.9468
ITACIR,0,1,-0.15818,-0.07155,0.08663,10.9409
ITACOX,0,1,-0.16896,-0.06407,0.10489,8.7612
ITADAK,0,1,-0.16614,-0.06782,0.09832,11.7362
ITADOY,0,1,-0.16522,-0.06078,0.10444,8.3998
ITADUE,0,1,-0.15827,-0.06894,0.08933,12.7098
ITAFAM,0,1,-0.17366,-0.06569,0.10797,10.3155
ITAHOC,0,1,-0.16752,-0.06769,0.09983,10.9956
ITIXAL,0,1,-0.18,-0.07097,0.10903,5.8651
ITIXOZ,0,1,-0.19593,-0.08515,0.11078,7.2381
ITIXUF,0,1,-0.17158,-0.04865,0.12293,8.7003
IVAHUK,0,1,-0.1949,-0.1178,0.0771,8.8786
IVAJOG,0,1,-0.19401,-0.11126,0.08275,8.4639
IVAKAT,0,1,-0.19312,-0.11418,0.07894,8.3787
IVEHOG,0,1,-0.1831,-0.07353,0.10957,11.6297
IVEHUM,0,1,-0.18765,-0.08576,0.10189,9.5433
IVEJEY,0,1,-0.19136,-0.08897,0.10239,9.0357
IVEJIC,0,1,-0.17923,-0.07112,0.10811,14.1036
IVIYIW,0,1,-0.21958,-0.07945,0.14013,8.0869
IWALEZ,0,1,-0.20257,-0.13599,0.06658,10.5355
IWELON,1,1,-0.29943,-0.20153,0.0979,6.9453
IWELUT,1,1,-0.3043,-0.19156,0.11274,5.4765
IWEMAA,1,1,-0.30163,-0.1983,0.10333,5.5415
IWOLEN,0,1,-0.21784,-0.04876,0.16908,0.0327
IWOSIX,0,1,-0.16724,-0.0707,0.09654,2.2673
IWOSOD,0,1,-0.16982,-0.06703,0.10279,2.3939
IXEGOI,0,1,-0.20528,-0.03896,0.16632,10.035
IXEHEZ,0,1,-0.20587,-0.04907,0.1568,8.2485
IXOBAA,0,1,-0.19436,-0.09024,0.10412,5.2763
IXOJAI,0,1,-0.19091,-0.0865,0.10441,3.2167
IXUSUP,0,1,-0.15659,-0.04416,0.11243,5.9914
IXUTAW,0,1,-0.15127,-0.04007,0.1112,2.7603
IXUTEA,0,1,-0.14913,-0.03948,0.10965,2.8385
IXUTIE,0,1,-0.14447,-0.03737,0.1071,1.8189
IXUWAA,0,1,-0.17171,-0.10773,0.06398,16.061
IXUWEE,0,1,-0.16752,-0.12036,0.04716,24.0805
IYEYUH,0,1,-0.18951,-0.085,0.10451,5.7249
IYEZAO,0,1,-0.18254,-0.07192,0.11062,1.5509
IYEZES,0,1,-0.18899,-0.08366,0.10533,5.0342
IYICID,0,1,-0.16908,-0.13458,0.0345,16.6626
IYOJEN,1,1,-0.27475,-0.17465,0.1001,4.086
IYOKAI,1,1,-0.24188,-0.18928,0.0526,9.2584
IYUQUP,0,1,-0.19622,-0.0988,0.09742,4.4727
IYURAW,0,1,-0.19725,-0.08685,0.1104,3.0575
IZADUI,1,1,-0.33065,-0.22594,0.10471,10.7985
IZAFIZ,0,1,-0.17379,-0.0812,0.09259,0.5481
IZITES,0,1,-0.2112,-0.09651,0.11469,4.8188
IZOREV,0,1,-0.18485,-0.10737,0.07748,10.4859
IZORIZ,0,1,-0.19865,-0.09271,0.10594,5.3984
IZOSOG,0,1,-0.19875,-0.09548,0.10327,6.5132
IZOTAT,0,1,-0.19975,-0.09977,0.09998,6.4833
IZOTEX,0,1,-0.20152,-0.09747,0.10405,7.1624
IZOTIB,0,1,-0.20068,-0.09857,0.10211,8.404
IZOTOH,0,1,-0.17285,-0.09384,0.07901,5.6523
IZOTUN,0,1,-0.20301,-0.10018,0.10283,7.1777
JAFNEM,0,1,-0.19645,-0.07882,0.11763,6.229
JAFNIQ,0,1,-0.19732,-0.06922,0.1281,4.5713
JAFNOW,0,1,-0.2048,-0.07669,0.12811,6.0823
JAFNUC,0,1,-0.21937,-0.08534,0.13403,6.4616
JAGFAB,1,1,-0.316,-0.13862,0.17738,0.8641
JAGSUG,0,1,-0.16899,-0.04373,0.12526,1.3967
JAGTAN,0,1,-0.16956,-0.04649,0.12307,0.0343
JAMFOV,1,1,-0.25915,-0.17234,0.08681,1.3486
JAMFUB,0,1,-0.14356,-0.0741,0.06946,9.9148
JAMGAI,0,1,-0.14498,-0.07971,0.06527,10.4317
JAMGIQ,1,1,-0.25937,-0.17247,0.0869,1.3698
JARCAG,0,1,-0.23649,-0.13086,0.10563,15.9065
JARCEK,0,1,-0.23815,-0.12931,0.10884,15.9501
JAWRAD,1,1,-0.28795,-0.18162,0.10633,12.328
JAYCIY,0,1,-0.19838,-0.08974,0.10864,7.8986
JAYCOE,0,1,-0.20253,-0.08921,0.11332,9.1343
JEBHII,0,1,-0.18622,-0.08465,0.10157,4.6567
JEBHOO,0,1,-0.1845,-0.08184,0.10266,5.3702
JEBSAL,0,1,-0.17722,-0.05936,0.11786,5.107
JEDMAH,0,1,-0.16712,-0.08662,0.0805,3.7298
JEDMEL,0,1,-0.16954,-0.08899,0.08055,4.7204
JEFGIL,0,1,-0.18226,-0.0957,0.08656,8.5386
JEGPIX,0,1,-0.16343,-0.04545,0.11798,8.0067
JEGPOD,0,1,-0.16746,-0.03734,0.13012,8.3093
JEGPUJ,0,1,-0.16147,-0.0404,0.12107,9.1159
JEGQIY,0,1,-0.16275,-0.04127,0.12148,8.5246
JEKGEO,0,1,-0.16385,-0.08496,0.07889,3.42
JESZIT,0,1,-0.19653,-0.07492,0.12161,15.751
JETWIP,0,1,-0.17807,-0.09684,0.08123,5.5966
JEXBAS,0,1,-0.19546,-0.12771,0.06775,8.7616
JEXXEQ,0,1,-0.19665,-0.11347,0.08318,12.2165
JIDLOA,0,1,-0.22366,-0.10196,0.1217,10.0311
JIJQOL,0,1,-0.1551,-0.08718,0.06792,2.4278
JIKCOY,0,1,-0.16268,-0.03513,0.12755,0.0069
JIMBAJ,0,1,-0.21729,-0.13197,0.08532,0.0003
JIMXEL,1,1,-0.25844,-0.19476,0.06368,15.1828
JINRUW,1,1,-0.26084,-0.18167,0.07917,5.5337
JINSEH,1,1,-0.27061,-0.18834,0.08227,11.228
JINTUY,0,1,-0.21193,-0.09166,0.12027,5.7958
JIRWOZ,0,1,-0.18598,-0.10525,0.08073,9.3368
JITMEF,0,1,-0.16735,-0.08366,0.08369,0.8244
JITNIK,1,1,-0.27792,-0.19019,0.08773,3.0421
JITNUW,1,1,-0.27245,-0.18709,0.08536,2.3276
JIVMUW,0,1,-0.18103,-0.09156,0.08947,0.0003
JIVNAD,0,1,-0.18102,-0.09156,0.08946,0.0009
JIVNIL,0,1,-0.18099,-0.09159,0.0894,0.0016
JIVNOR,0,1,-0.18104,-0.09155,0.08949,0.0006
JIVNUX,0,1,-0.18102,-0.09156,0.08946,0.0004
JIVPIN,0,1,-0.18105,-0.09155,0.0895,0.001
JIVPUZ,0,1,-0.18107,-0.09153,0.08954,0.0003
JIVREL,0,1,-0.18104,-0.09156,0.08948,0.0007
JIVRIP,0,1,-0.18107,-0.09153,0.08954,0.0002
JIVTAJ,0,1,-0.18105,-0.09154,0.08951,0.0009
JIVTEN,0,1,-0.181,-0.09158,0.08942,0.0017
JIVTIR,0,1,-0.18104,-0.09154,0.0895,0.0001
